num_experimento,num_iteracao,num_particula,pos_camada,pos_n1,pos_n2,pos_n3,pos_lr,vel_camada,vel_n1,vel_n2,vel_n3,vel_lr,pbest_camada,pbest_n1,pbest_n2,pbest_n3,pbest_lr,num_camadas,f1_score,peso,int_best
23,8,16,1.7075098576050445,71.81287867968526,102.00446164921688,68.0,0.06000400000000001,-0.30000000000000004,-12.0,0.9994866120239339,-12.0,-0.009999000000000001,2.8000000000000007,56.0,56.0,56.0,0.030007000000000002,2,0.8529411764705882,0.1470588235294118,0
23,8,17,2.2434208744613517,86.22608705869666,103.97757022538681,93.6312313814686,0.07421474035230985,0.1640300783883567,12.0,10.052328027533012,-12.0,-0.0030143089373424227,3.1000000000000005,55.00028997047436,84.0,84.0,0.063297,2,0.8529411764705882,0.1470588235294118,0
23,8,18,2.399190089734541,114.03046408106735,116.61163564093556,120.29363601072009,0.1,0.1991900897345401,-11.482582087887495,-6.134593287438092,-5.951778169846879,0.003805390667751403,3.4000000000000004,110.30874797434123,112.0,112.0,0.086698,2,0.12121212121212122,0.8787878787878788,0
23,8,19,1.5339995291311415,128.0,128.0,128.0,0.1,-0.30000000000000004,0.0018347033257580816,0.02073310033452336,0.02434062598859756,0.0006711790076527208,2.8000000000000007,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,9,0,1.0,104.0,80.0,100.56417743340282,0.050005,-0.007087862233620332,12.0,-12.0,12.0,-0.009999000000000001,1.0,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,9,1,1.0,110.2006693398427,108.62354827882234,111.40811929220351,0.08901626170593586,-0.012106082099999995,-4.908756479103197,-0.849608709146402,4.644455257470815,-0.009714703270670548,1.0,96.0,96.0,77.3909031787425,0.073296,1,0.8529411764705882,0.1470588235294118,0
23,9,2,1.0,128.0,126.11825786863439,122.87121712917514,0.08302214268368385,-0.012106082099999995,2.299998011170798,-1.8817421313656153,-5.128782870824869,-0.009999000000000001,1.0,124.0,124.0,110.78095551668233,0.07669899999999999,1,0.8529411764705882,0.1470588235294118,0
23,9,3,1.0,128.0,128.0,128.0,0.1,-0.012106082099999995,0.027173757382653988,0.001398615837933571,0.010663400803990362,0.0011763723509999994,1.0,128.0,128.0,128.0,0.1,1,0.8656716417910447,0.13432835820895528,1
23,9,4,1.0041489852492889,78.92778448746911,54.485528934102774,77.07908180560925,0.03900409286858247,-0.00017420094813664494,-2.9365723310901437,-12.0,-12.0,-0.00040277094546926906,1.0060760121377235,32.0,32.0,29.07908180560925,0.010009,1,0.8529411764705882,0.1470588235294118,0
23,9,5,1.1361634386829682,117.3784603076771,106.22508742178066,89.37706180924847,0.073296,-0.30000000000000004,12.0,12.0,12.0,0.009999000000000001,1.4361634386829683,105.3784603076771,94.22508742178066,77.37706180924847,0.06329699999999999,1,0.9354838709677419,0.06451612903225812,0
23,9,6,1.2680898340795332,95.0214240268044,98.15368272192704,114.5552854727396,0.07506583563812906,-0.30000000000000004,-12.0,-12.0,1.8457683236007556,-0.005380547717386165,2.0,88.0,88.0,88.0,0.0667,1,0.8529411764705882,0.1470588235294118,0
23,9,7,1.4702305700544656,128.0,128.0,128.0,0.1,-0.30000000000000004,0.022125435369232595,0.12325627051815075,0.010408254007609018,0.0011763723509999994,2.0,128.0,128.0,128.0,0.1,1,0.8529411764705882,0.1470588235294118,0
23,9,8,1.0440385152218488,69.68373289250901,80.0,64.4576944470395,0.056068515843293504,-0.053690389248258495,-12.0,12.0,-2.7130570584056457,0.009999000000000001,1.7,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,9,9,1.1343294558536998,127.1965402687596,109.91494521225344,93.74181224016596,0.08979106815270288,0.13432945585369976,3.718975740474492,-3.315888133726813,7.009665514401767,-0.009999000000000001,1.1634183807415879,111.2826478082105,106.86056494163371,83.51478496882424,0.08329500000000001,1,0.8529411764705882,0.1470588235294118,0
23,9,10,1.658894319054036,112.44087737305036,103.97512613782644,109.1295497256496,0.08957784660068742,0.02648768161806725,2.537724812097327,-12.0,-7.550133066829238,-0.001968540168467081,3.0,106.47347852466748,99.7606386581111,100.85645332137183,0.08208864234263291,2,0.8529411764705882,0.1470588235294118,0
23,9,11,1.3133465976139174,128.0,128.0,128.0,0.1,-0.23759054410646693,0.038688522943112126,0.029907573895254093,0.04290391614739721,0.0005764224519899996,1.9788766665419633,128.0,128.0,128.0,0.1,1,0.8529411764705882,0.1470588235294118,0
23,9,12,1.4856921932940876,86.58558460584652,80.19496688807891,90.90341369173704,0.06084489306016658,0.30000000000000004,12.0,-12.0,12.0,0.0008408930601665685,2.4000000000000004,32.0,32.0,32.0,0.010009,1,0.8529411764705882,0.1470588235294118,0
23,9,13,1.0438607474092847,90.97598379584176,98.66249411226896,100.21270741057022,0.08353676740370913,-0.20887854797277444,-12.0,-2.247691547057837,-12.0,0.0035347674037091376,1.5000000000000004,81.77840208545746,99.34099174483012,98.75558191547532,0.08329500000000001,1,0.8529411764705882,0.1470588235294118,0
23,9,14,1.5220485004568416,105.96541295378269,127.85186503868698,128.0,0.09870954334930691,-0.30000000000000004,1.65742491298117,-0.14813496131301918,8.812636000464645,-0.001290456650693092,2.1220485004568417,99.03863383197574,119.43090827198391,113.21977179452023,0.09357487571318229,2,0.8529411764705882,0.1470588235294118,0
23,9,15,2.073640689240192,128.0,128.0,128.0,0.1,-0.2785861641525649,0.015325431745285757,0.047217664301401584,0.01721747399221656,0.0009931139193984121,4.0,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,9,16,1.4075098576050444,68.22774225223849,90.00446164921688,66.15725401216139,0.07000300000000001,-0.30000000000000004,-3.5851364274467663,-12.0,-1.8427459878386134,0.009999000000000001,2.8000000000000007,56.0,56.0,56.0,0.030007000000000002,1,0.8529411764705882,0.1470588235294118,0
23,9,17,1.9434208744613517,85.26190908710207,115.97757022538681,105.6312313814686,0.08421374035230986,-0.30000000000000004,-0.9641779715945891,12.0,12.0,0.009999000000000001,3.1000000000000005,55.00028997047436,84.0,84.0,0.063297,2,0.8529411764705882,0.1470588235294118,0
23,9,18,2.099190089734541,108.20278457961642,123.53689704430603,125.63053058031144,0.1,-0.30000000000000004,-5.827679501450933,6.9252614033704765,5.336894569591347,0.002663773467425982,2.399190089734541,114.03046408106735,116.61163564093556,120.29363601072009,0.1,2,0.9666666666666667,0.033333333333333326,0
23,9,19,1.8339995291311415,128.0,128.0,128.0,0.1,0.30000000000000004,0.001284292328030657,0.014513170234166352,0.01703843819201829,0.0004698253053569046,2.8000000000000007,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,10,0,1.3,92.0,92.0,88.56417743340282,0.05727378221985551,0.30000000000000004,-12.0,12.0,-12.0,0.00726878221985551,1.0,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,10,1,1.181808093409308,114.2175964232174,120.62354827882234,99.40811929220351,0.08132583986975382,0.18180809340930804,4.016927083374689,12.0,-12.0,-0.00769042183618204,1.0,96.0,96.0,77.3909031787425,0.073296,1,0.8787878787878788,0.12121212121212122,0
23,10,2,1.3,126.57875796635973,122.19652951014741,118.48963379335376,0.0775756261266228,0.30000000000000004,-1.4212420336402711,-3.9217283584869786,-4.381583335821379,-0.00544651655706105,1.0,124.0,124.0,110.78095551668233,0.07669899999999999,1,0.8529411764705882,0.1470588235294118,0
23,10,3,1.3,128.0,128.0,128.0,0.1,0.30000000000000004,0.01902163016785779,0.0009790310865534996,0.007464380562793253,0.0008234606456999996,1.0,128.0,128.0,128.0,0.1,1,0.8529411764705882,0.1470588235294118,0
23,10,4,1.304148985249289,72.61054577614323,61.585276771621984,83.79450105200263,0.04900309286858247,0.30000000000000004,-6.317238711325885,7.09974783751921,6.7154192463933775,0.009999000000000001,1.0060760121377235,32.0,32.0,29.07908180560925,0.010009,1,0.8529411764705882,0.1470588235294118,0
23,10,5,1.3280962795678601,124.91269331790039,113.17342578514247,101.37706180924847,0.08329500000000001,0.19193284088489185,7.534233010223295,6.948338363361813,12.0,0.009999000000000001,1.4361634386829683,105.3784603076771,94.22508742178066,77.37706180924847,0.06329699999999999,1,0.8529411764705882,0.1470588235294118,0
23,10,6,1.5680898340795333,107.0214240268044,90.03963391803347,102.5552854727396,0.07754468119795736,0.30000000000000004,12.0,-8.114048803893564,-12.0,0.002478845559828304,2.0,88.0,88.0,88.0,0.0667,2,0.8529411764705882,0.1470588235294118,0
23,10,7,1.7702305700544656,128.0,128.0,128.0,0.1,0.30000000000000004,0.015487804758462816,0.08627938936270552,0.007285777805326312,0.0008234606456999996,2.0,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,10,8,1.3440385152218488,81.68373289250901,92.0,76.4576944470395,0.05196547150867895,0.30000000000000004,12.0,12.0,12.0,-0.0041030443346145515,1.7,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,10,9,1.4343294558536999,115.1965402687596,121.91494521225344,105.74181224016596,0.08753550033700823,0.30000000000000004,-12.0,12.0,12.0,-0.0022555678156946472,1.1634183807415879,111.2826478082105,106.86056494163371,83.51478496882424,0.08329500000000001,1,0.9206349206349206,0.07936507936507942,0
23,10,10,1.958894319054036,119.76191655575626,115.97512613782644,111.59437967607676,0.0941262083493152,0.30000000000000004,7.321039182705904,12.0,2.4648299504271556,0.0045483617486277925,3.0,106.47347852466748,99.7606386581111,100.85645332137183,0.08208864234263291,2,0.8529411764705882,0.1470588235294118,0
23,10,11,1.6133465976139174,128.0,128.0,128.0,0.1,0.30000000000000004,0.027081966060178486,0.020935301726677864,0.030032741303178047,0.0004034957163929997,1.9788766665419633,128.0,128.0,128.0,0.1,2,0.9354838709677419,0.06451612903225812,0
23,10,12,1.7856921932940877,74.58558460584652,92.19496688807891,94.47061732023684,0.07084389306016659,0.30000000000000004,-12.0,12.0,3.5672036284998008,0.009999000000000001,2.4000000000000004,32.0,32.0,32.0,0.010009,2,0.8529411764705882,0.1470588235294118,0
